Season,Team,Conf_x,Class_x,Pos_x,G_x,GS_x,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards_x,Conf_y,Class_y,Pos_y,G_y,GS_y,MP_y,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards_y,player_id,cluster
2024-25,Arkansas,SEC,SO,F,35.0,19.0,19.1,3.0,6.3,0.473,1.3,3.6,0.376,1.7,2.8,0.598,0.579,1.2,1.7,0.724,0.8,3.5,4.3,0.8,0.7,1.9,1.4,2.0,8.5,Unknown,SEC,SO,F,35.0,19.0,669.0,20.1,0.599,0.563,0.261,267.0,4.8,20.0,12.8,8.1,2.0,10.6,16.4,22.4,0.9,1.5,2.4,0.145,3.1,5.4,8.5,Unknown,zvonimir-ivisic-1,3
2024-25,California,ACC,SO,G,29.0,28.0,33.4,5.9,13.9,0.427,1.4,4.4,0.318,4.5,9.4,0.478,0.478,4.7,5.7,0.818,0.9,3.8,4.7,1.8,0.8,1.2,2.2,1.8,17.9,Unknown,ACC,SO,G,29.0,28.0,969.0,19.5,0.54,0.32,0.409,475.0,2.9,13.7,7.9,12.0,1.4,3.7,11.9,27.8,2.0,0.8,2.8,0.117,4.1,0.6,4.7,Unknown,andrej-stojakovic-2,2
2024-25,High Point,Big South,FR,F,5,0,6.0,1.2,1.6,0.75,0.0,0.0,0,1.2,1.6,0.75,0.75,0.2,0.2,1.0,0.6,1.2,1.8,0.2,0.0,0.8,0.6,0.8,2.6,Unknown,Big South,FR,F,5,0,30,25.3,0.767,0.0,0.125,12,12.6,22.7,17.9,6.5,0.0,14.6,26.1,19.6,0.1,0.1,0.1,0.185,-8.1,-3.9,-12.0,Unknown,ivan-matlekovic-1,0
2024-25,Cal State Northridge,Big West,SR,F,33,33,30.8,4.7,9.3,0.506,0.4,1.0,0.382,4.3,8.3,0.522,0.528,3.3,4.8,0.675,2.8,6.3,9.0,4.1,1.8,1.3,2.6,3.1,13.1,Unknown,Big West,SR,F,33,33,1018,22.3,0.564,0.11,0.519,480,10.0,22.9,16.4,23.6,3.2,6.0,18.5,21.6,2.2,2.5,4.7,0.184,2.5,3.2,5.8,Unknown,keonte-jones-1,3
2024-25,Alabama State,SWAC,SR,G,35,35,29.4,5.1,12.3,0.418,2.0,5.4,0.378,3.1,6.9,0.449,0.5,1.8,2.5,0.719,0.8,2.2,3.0,2.4,1.1,0.1,1.3,2.4,14.1,Unknown,SWAC,SR,G,35,35,1029,16.8,0.523,0.436,0.206,468,2.8,8.4,5.4,17.7,2.1,0.5,8.9,24.9,1.9,1.2,3.0,0.117,0.7,-1.5,-0.8,Unknown,cj-hines-1,4
2024-25,California,ACC,FR,F,27,0,6.3,0.5,1.7,0.283,0.3,1.1,0.3,0.1,0.6,0.25,0.38,0.2,0.3,0.556,0.3,0.7,1.0,0.2,0.0,0.0,0.1,0.7,1.5,Unknown,ACC,FR,F,27,0,169,5.8,0.398,0.652,0.196,41,5.7,13.0,9.1,5.5,0.3,0.6,7.4,15.9,0.0,0.1,0.1,0.026,-2.8,-1.4,-4.2,Unknown,spencer-mahoney-1,1
2024-25,Arkansas State,Sun Belt,JR,G,34.0,14.0,21.0,2.6,7.0,0.378,1.3,4.0,0.321,1.4,3.0,0.455,0.471,1.4,1.7,0.828,1.5,1.8,3.4,0.7,0.3,0.0,0.6,1.2,8.0,Unknown,Sun Belt,JR,G,34.0,14.0,713.0,13.5,0.512,0.576,0.244,261.0,7.5,8.9,8.2,6.1,0.7,0.1,6.7,19.0,1.4,0.9,2.3,0.127,1.2,-1.5,-0.3,Unknown,derrian-ford-1,4
2024-25,Nebraska,Big Ten,SO,G,16.0,0.0,8.5,0.8,2.4,0.342,0.4,1.8,0.25,0.4,0.6,0.6,0.434,0.0,0.0,Unknown,0.2,1.4,1.6,0.8,0.3,0.4,0.4,0.9,2.1,Unknown,Big Ten,SO,G,16.0,0.0,136.0,10.7,0.434,0.737,0.0,36.0,2.6,18.7,11.0,15.8,2.1,5.5,13.6,16.6,0.0,0.2,0.2,0.07,-1.7,2.9,1.1,Unknown,gavin-griffiths-2,4
2024-25,IllinoisâChicago,MVC,JR,G,30.0,20.0,30.0,3.6,8.8,0.413,0.5,1.5,0.341,3.1,7.3,0.427,0.441,1.8,2.3,0.809,0.7,2.6,3.4,3.3,1.2,0.3,1.5,1.7,9.6,Unknown,MVC,JR,G,30.0,20.0,901.0,12.8,0.486,0.167,0.258,309.0,2.9,10.2,6.5,20.2,2.2,0.9,13.4,19.2,0.9,1.1,1.9,0.086,-1.2,0.2,-1.0,Unknown,jordan-mason-3,4
2024-25,Manhattan,MAAC,JR,G,31,31,29.8,3.9,7.8,0.498,0.7,2.3,0.314,3.2,5.5,0.573,0.544,2.7,3.8,0.726,3.5,3.8,7.3,1.6,1.0,0.3,1.3,1.9,11.2,Unknown,MAAC,JR,G,31,31,923,20.0,0.585,0.29,0.485,367,13.4,14.2,13.8,10.2,2.1,1.0,12.1,18.4,2.5,0.9,3.4,0.148,2.3,-2.1,0.3,Unknown,masiah-gilyard-1,2
2024-25,College of Charleston,CAA,SO,G,30.0,22.0,25.5,4.1,9.4,0.431,0.6,2.5,0.25,3.4,6.9,0.498,0.465,2.7,3.6,0.752,1.2,2.0,3.1,0.9,0.7,0.0,1.1,2.1,11.5,Unknown,CAA,SO,G,30.0,22.0,766.0,13.6,0.515,0.269,0.385,318.0,5.3,8.5,6.9,6.7,1.5,0.1,9.2,24.2,0.9,0.8,1.8,0.093,-1.9,-1.2,-3.1,Unknown,aj-smith-2,4
