Season,Team,Conf_x,Class_x,Pos_x,G_x,GS_x,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards_x,Conf_y,Class_y,Pos_y,G_y,GS_y,MP_y,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards_y,player_id,previous_school
2023-24,Kentucky,SEC,FR,F,26.0,10.0,13.7,1.9,3.3,0.576,0.2,0.5,0.286,1.7,2.7,0.634,0.6,1.0,1.7,0.568,1.3,2.0,3.3,0.3,0.3,0.7,0.3,2.0,4.9,Unknown,SEC,FR,F,26.0,10.0,357.0,17.6,0.6,0.165,0.518,128.0,11.1,14.9,13.1,3.0,1.2,5.6,7.8,15.4,0.9,0.4,1.3,0.143,1.5,1.3,2.8,Unknown,aaron-bradshaw-1,
2024-25,Ohio State,Big Ten,SO,F,22.0,5.0,16.9,2.3,4.6,0.49,0.4,1.5,0.273,1.9,3.1,0.594,0.534,1.0,1.4,0.742,1.0,1.7,2.7,0.2,0.6,0.7,0.4,2.6,6.0,Unknown,Big Ten,SO,F,22.0,5.0,372.0,16.0,0.565,0.324,0.304,124.0,7.3,12.0,9.8,2.5,2.2,4.9,6.4,17.2,0.8,0.5,1.3,0.136,1.5,3.7,5.2,Unknown,aaron-bradshaw-1,Kentucky
2022-23,Niagara,MAAC,SO,G,31.0,30.0,32.5,4.4,10.2,0.43,1.6,4.9,0.331,2.8,5.3,0.521,0.509,2.0,2.7,0.735,1.0,3.5,4.5,1.1,0.6,0.3,1.1,2.3,12.4,Unknown,MAAC,SO,G,31.0,30.0,1007.0,15.7,0.539,0.478,0.263,355.0,4.3,14.0,9.2,7.4,1.2,1.0,8.7,21.6,1.9,1.0,2.9,0.116,0.9,-1.8,-0.9,Unknown,aaron-gray-2,
2023-24,Indiana State,MVC,JR,G,15.0,0.0,5.1,0.3,1.3,0.263,0.1,0.6,0.222,0.2,0.7,0.3,0.316,0.5,0.6,0.778,0.3,1.0,1.3,0.1,0.2,0.2,0.6,0.7,1.3,Unknown,MVC,JR,G,15.0,0.0,76.0,4.2,0.408,0.474,0.474,20.0,6.9,21.4,14.9,2.0,2.2,3.9,27.9,21.7,-0.2,0.2,0.0,-0.007,-7.5,0.2,-7.3,Unknown,aaron-gray-2,Niagara
2024-25,Indiana State,MVC,SR,G,25.0,16.0,24.0,3.6,6.8,0.538,0.8,2.6,0.292,2.9,4.2,0.692,0.595,2.5,3.4,0.738,1.7,4.3,6.0,0.6,0.6,0.2,1.2,2.2,10.5,Unknown,MVC,SR,G,25.0,16.0,599.0,18.1,0.629,0.385,0.497,243.0,8.3,20.1,14.3,4.8,1.3,0.9,12.2,19.5,1.4,0.6,2.0,0.137,1.8,-1.4,0.5,Unknown,aaron-gray-2,Indiana State
2021-22,North Texas,CUSA,FR,G,32.0,0.0,16.0,1.4,2.8,0.505,0.2,0.7,0.261,1.3,2.1,0.588,0.538,1.0,1.5,0.633,1.7,2.4,4.1,0.4,0.4,0.4,0.6,2.1,4.0,Unknown,CUSA,FR,G,32.0,0.0,511.0,17.2,0.564,0.253,0.538,143.0,13.2,19.1,16.1,5.8,1.5,3.2,14.3,14.7,1.1,1.2,2.4,0.185,-0.1,2.3,2.2,Unknown,aaron-scott-5,
2022-23,North Texas,CUSA,SO,G,38.0,38.0,27.2,2.7,4.6,0.584,0.5,1.3,0.408,2.1,3.3,0.653,0.642,1.2,1.7,0.692,1.9,3.7,5.5,1.1,1.0,0.8,1.1,3.1,7.0,Unknown,CUSA,SO,G,38.0,38.0,1035.0,18.4,0.655,0.283,0.376,270.0,8.9,16.8,13.0,9.1,2.5,3.8,17.4,13.6,2.4,2.6,5.0,0.193,2.1,3.9,5.9,Unknown,aaron-scott-5,North Texas
2023-24,North Texas,AAC,JR,G,34.0,34.0,30.2,4.0,9.6,0.419,1.3,3.5,0.37,2.7,6.1,0.447,0.486,1.6,2.1,0.789,1.7,3.9,5.6,1.8,1.1,1.3,1.5,3.0,11.0,Unknown,AAC,JR,G,34.0,34.0,1027.0,18.0,0.518,0.364,0.217,373.0,6.6,15.6,11.1,12.7,2.3,5.2,12.2,21.5,1.8,2.0,3.8,0.149,2.0,3.1,5.1,Unknown,aaron-scott-5,North Texas
2024-25,St. John's (NY),Big East,JR,G,36.0,30.0,27.2,3.0,7.8,0.389,1.4,4.8,0.293,1.6,2.9,0.547,0.48,0.9,1.2,0.81,1.9,2.4,4.3,1.0,1.4,0.6,0.6,2.8,8.4,Unknown,Big East,JR,G,36.0,30.0,978.0,14.0,0.505,0.621,0.15,292.0,7.2,9.7,8.4,5.9,3.0,2.5,7.1,15.6,1.6,2.3,3.9,0.159,1.6,5.0,6.6,Unknown,aaron-scott-5,North Texas
2022-23,Rhode Island,A-10,FR,F,30.0,17.0,17.6,1.5,3.2,0.463,0.0,0.0,Unknown,1.5,3.2,0.463,0.463,0.7,0.9,0.75,1.3,1.4,2.7,0.5,0.2,0.5,0.8,2.7,3.6,Unknown,A-10,FR,F,30.0,17.0,528.0,8.1,0.503,0.0,0.295,115.0,8.1,9.0,8.5,5.6,0.7,2.8,18.8,12.6,0.3,0.5,0.7,0.056,-4.8,-0.1,-4.9,Unknown,abdou-samb-1,
