rank,netrtg,adjt,luck,sos,sos_ooc,team,year
23,+19.29,72.7,-.040,+8.94,-0.17,Kentucky,2024
259,-7.29,63.1,+.092,-4.92,-5.16,Niagara,2023
57,+12.98,59.3,+.001,+0.26,+4.85,North Texas,2022
255,-7.07,67.1,-.016,-0.98,-2.72,Rhode Island,2023
360,-25.61,67.5,-.019,-3.06,-4.33,IUPUI,2024
40,+17.03,69.1,-.050,+19.38,+11.55,Penn St.,2021
109,+5.18,65.1,+.006,+8.87,-3.69,Minnesota,2022
72,+11.76,62.7,-.018,+6.35,+6.16,North Texas,2021
56,+14.17,71.2,-.060,+13.22,+4.87,Xavier,2024
160,+0.77,70.9,+.109,-0.00,+6.47,Long Beach St.,2022
3,+27.29,66.1,-.009,+8.70,+0.15,UCLA,2023
28,+17.89,68.5,-.100,+9.00,-1.85,Wake Forest,2024
140,+2.42,65.0,-.034,+0.88,-1.65,Davidson,2023
136,+2.89,68.2,+.002,-4.17,-1.80,Samford,2023
51,+13.67,68.9,-.035,-0.77,-2.46,UAB,2022
4,+29.06,70.5,+.022,+18.17,+10.44,Illinois,2021
151,+1.14,65.7,+.027,+5.91,-6.56,LSU,2023
129,+3.75,67.0,+.124,+0.10,+5.08,Tarleton St.,2024
5,+25.96,72.2,+.048,+6.45,-0.78,Arizona,2022
246,-6.47,72.6,+.070,-0.27,-5.28,UT Rio Grande Valley,2023
254,-6.73,70.6,-.001,-0.01,-7.12,UTSA,2024
17,+20.00,65.0,+.023,+8.15,+4.11,Oregon,2020
4,+27.99,70.0,-.080,+9.49,+1.47,Auburn,2024
295,-12.08,68.2,+.024,-4.29,-0.50,NJIT,2021
206,-2.42,64.9,-.039,-5.72,-2.70,Rider,2023
27,+17.40,65.8,-.019,+8.52,+0.53,Kentucky,2023
67,+12.11,64.3,-.079,+8.25,+4.50,Washington St.,2023
48,+15.04,69.6,+.035,+8.57,+5.66,VCU,2021
81,+10.29,66.6,+.084,+8.70,+1.98,Vanderbilt,2023
135,+2.89,68.6,-.012,+10.45,+1.82,DePaul,2023
272,-8.15,67.4,+.021,-6.28,-3.99,Niagara,2024
246,-5.95,71.5,+.077,-2.48,+0.24,New Hampshire,2024
363,-29.52,72.4,-.024,-8.20,+5.79,LIU,2023
241,-7.07,70.5,+.031,+1.92,-3.78,Western Carolina,2021
262,-8.05,68.6,+.067,-3.25,+3.49,USC Upstate,2022
7,+26.87,69.9,-.027,+16.41,-4.90,Iowa,2021
186,-2.05,66.2,-.057,-7.28,-99.00,Siena,2021
13,+21.24,61.6,+.006,+6.45,+3.94,Saint Mary's,2023
35,+17.63,64.7,-.024,+17.10,-1.11,Maryland,2021
150,+1.15,65.2,-.075,-0.74,-2.63,Richmond,2023
277,-8.46,65.1,+.148,-3.62,+3.06,Central Michigan,2024
172,-0.28,68.9,+.003,-6.76,-0.23,Wright St.,2022
24,+17.94,68.8,+.027,+7.30,-2.67,Miami FL,2023
139,+2.45,63.7,+.087,-2.70,-3.76,Southern Illinois,2023
167,+0.14,72.7,-.012,-0.37,+6.53,Long Beach St.,2023
64,+12.90,68.3,+.090,+17.72,-1.03,Michigan St.,2021
284,-9.36,64.1,+.050,-6.00,-5.02,New Hampshire,2023
108,+7.79,68.0,+.003,+1.48,-2.78,UNC Greensboro,2021
101,+7.24,67.6,-.051,+2.81,-5.61,Cincinnati,2022
153,+1.06,69.3,-.001,-2.84,-2.68,Lipscomb,2023
203,-2.35,69.9,+.003,-2.66,-3.37,Queens,2023
160,+0.77,70.9,+.109,-0.00,+6.47,Long Beach St.,2022
327,-13.99,67.0,+.000,-3.60,-3.71,The Citadel,2023
285,-9.43,69.1,-.007,-7.57,-1.78,Southern Indiana,2023
264,-9.49,72.7,-.035,+2.79,-3.32,Samford,2021
82,+10.28,73.3,-.013,+7.18,-7.58,St. John's,2023
17,+20.06,65.5,-.036,+14.04,+6.22,Wisconsin,2024
349,-19.72,65.9,+.017,-7.78,-3.54,Holy Cross,2024
127,+3.92,69.2,+.064,+10.51,+6.00,Arizona St.,2024
317,-13.72,64.3,+.008,-6.02,+0.88,Sacramento St.,2022
258,-7.97,70.0,-.040,-4.41,-0.87,Canisius,2020
287,-9.63,63.2,-.012,-3.41,-10.89,Arkansas St.,2023
160,+0.65,62.0,+.046,-3.56,+4.03,Northern Kentucky,2023
49,+13.86,65.6,-.087,+7.96,-1.63,Mississippi St.,2022
157,+0.86,68.9,-.056,+3.80,+0.25,Portland,2023
169,-0.13,66.1,+.199,-0.83,+20.35,Cleveland St.,2021
146,+2.04,65.5,+.155,-2.36,-5.48,UNC Wilmington,2022
172,-0.12,64.7,+.018,-0.99,+6.13,Stetson,2023
123,+4.37,65.7,+.052,+1.24,-0.71,St. Bonaventure,2020
74,+11.48,69.3,-.077,+8.90,+5.34,Florida,2023
91,+8.98,69.8,-.012,+6.26,+7.37,Nevada,2021
157,+1.18,66.5,-.040,-4.21,-1.69,South Alabama,2022
350,-17.86,65.9,+.005,-5.62,+7.66,Alabama St.,2023
345,-19.04,70.0,-.009,-6.84,-3.16,Incarnate Word,2024
226,-4.86,67.1,-.045,-5.11,-0.52,Iona,2024
304,-12.44,65.7,-.009,-3.99,-0.96,Stetson,2022
284,-11.20,66.1,-.033,-4.75,+0.18,High Point,2021
246,-6.47,72.6,+.070,-0.27,-5.28,UT Rio Grande Valley,2023
259,-8.79,70.1,+.059,+1.03,+3.97,Cal St. Northridge,2021
28,+16.57,71.9,-.022,+12.58,+10.15,Alabama,2022
255,-7.07,67.1,-.016,-0.98,-2.72,Rhode Island,2023
179,-0.86,67.7,+.074,+1.11,-8.14,East Carolina,2022
340,-17.64,65.6,+.040,-2.01,-5.14,Chicago St.,2022
193,-1.47,69.0,-.050,+2.14,-0.34,Abilene Christian,2023
181,-1.14,68.1,-.098,-1.50,-0.22,Florida Atlantic,2021
,,,,,,Kansas City,2023
334,-16.80,70.9,+.009,-5.22,+3.06,Morgan St.,2024
214,-5.02,68.4,-.190,-4.36,-99.00,Loyola MD,2021
,,,,,,East Texas A&M,2023
198,-3.62,69.0,-.112,+5.34,+1.99,Illinois St.,2021
30,+16.48,65.1,-.054,+11.73,-2.04,Oklahoma,2022
