rank,netrtg,adjt,luck,sos,sos_ooc,team,year
37,+19.08,67.3,-.070,+15.21,+3.22,Ohio St.,2025
38,+16.69,70.9,+.032,+3.07,-4.40,Indiana St.,2024
14,+26.06,70.0,-.017,+9.16,-0.20,St. John's,2025
360,-25.61,67.5,-.019,-3.06,-4.33,IUPUI,2024
152,+0.58,63.8,+.094,-2.15,+3.51,Towson,2025
173,-0.43,67.6,+.017,-0.61,-7.43,Fordham,2022
299,-10.90,71.4,+.054,-5.64,-4.63,High Point,2023
56,+14.17,71.2,-.060,+13.22,+4.87,Xavier,2024
97,+6.91,72.0,+.078,+11.49,-3.07,Oklahoma St.,2025
28,+21.73,69.1,+.054,+10.57,+7.18,Louisville,2025
28,+17.89,68.5,-.100,+9.00,-1.85,Wake Forest,2024
352,-19.80,67.8,-.015,-4.89,+0.04,Stetson,2025
226,-4.97,67.5,+.009,-7.49,+0.20,Bucknell,2025
65,+12.17,67.1,-.037,+12.81,-1.18,Kansas St.,2025
298,-10.64,67.3,+.027,-0.61,+1.58,Louisiana Monroe,2024
151,+1.14,65.7,+.027,+5.91,-6.56,LSU,2023
127,+3.92,69.2,+.064,+10.51,+6.00,Arizona St.,2024
,,,,,,California Baptist,2025
109,+5.70,69.2,+.013,+2.57,+3.88,Santa Clara,2024
254,-6.73,70.6,-.001,-0.01,-7.12,UTSA,2024
249,-6.89,69.6,+.064,-4.86,-3.11,Georgia Southern,2025
223,-4.75,64.2,+.079,+0.20,+11.48,Northwestern St.,2025
6,+30.34,75.3,+.036,+20.14,+12.62,Alabama,2025
206,-2.42,64.9,-.039,-5.72,-2.70,Rider,2023
298,-11.45,64.1,+.007,-7.19,-0.12,Saint Peter's,2025
36,+19.33,69.4,-.007,+15.21,-2.61,Arkansas,2025
248,-6.18,65.8,-.038,+5.08,-4.10,San Jose St.,2024
77,+10.49,69.8,-.059,+9.52,-3.95,Penn St.,2024
296,-10.40,62.9,-.006,-9.60,-5.01,American,2024
162,+0.18,69.0,+.028,+2.31,+0.59,UTEP,2025
171,-0.52,69.3,+.066,+1.64,+2.34,Illinois Chicago,2025
258,-7.90,71.3,-.014,-2.36,-1.96,Mercer,2025
