Season,Team,Conf_x,Class_x,Pos_x,G_x,GS_x,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards_x,Conf_y,Class_y,Pos_y,G_y,GS_y,MP_y,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards_y,player_id,cluster,standard_player,player,new_team_x,new_university_name,new_team_name,before_Team,old_rank,old_netrtg,old_adjt,old_luck,old_sos,old_sos_ooc,new_rank,new_netrtg,new_adjt,new_luck,new_sos,new_sos_ooc,rank_change,netrtg_change,adjt_change,luck_change,sos_change,sos_ooc_change,Pos_C,Pos_F,Pos_G,Class_FR,Class_JR,Class_SO,Class_SR
2024-25,Arkansas,SEC,SO,F,35.0,19.0,19.1,3.0,6.3,0.473,1.3,3.6,0.376,1.7,2.8,0.598,0.579,1.2,1.7,0.724,0.8,3.5,4.3,0.8,0.7,1.9,1.4,2.0,8.5,Unknown,SEC,SO,F,35.0,19.0,669.0,20.1,0.599,0.563,0.261,267.0,4.8,20.0,12.8,8.1,2.0,10.6,16.4,22.4,0.9,1.5,2.4,0.145,3.1,5.4,8.5,Unknown,zvonimir-ivisic-1,3,zvonimir ivisic,Zvonimir Ivisic,Illinois Fighting Illini,Illinois,Fighting Illini,Arkansas,36.0,19.33,69.4,-0.007,15.21,-2.61,17.0,24.32,71.5,-0.022,17.14,3.6,-19.0,4.990000000000002,2.0999999999999943,-0.015,1.9299999999999997,6.21,0,1,0,0,0,1,0
2024-25,California,ACC,SO,G,29.0,28.0,33.4,5.9,13.9,0.427,1.4,4.4,0.318,4.5,9.4,0.478,0.478,4.7,5.7,0.818,0.9,3.8,4.7,1.8,0.8,1.2,2.2,1.8,17.9,Unknown,ACC,SO,G,29.0,28.0,969.0,19.5,0.54,0.32,0.409,475.0,2.9,13.7,7.9,12.0,1.4,3.7,11.9,27.8,2.0,0.8,2.8,0.117,4.1,0.6,4.7,Unknown,andrej-stojakovic-2,2,andrej stojakovic,Andrej Stojakovic,Illinois Fighting Illini,Illinois,Fighting Illini,California,110.0,4.43,67.7,-0.038,6.59,-1.59,17.0,24.32,71.5,-0.022,17.14,3.6,-93.0,19.89,3.799999999999997,0.016,10.55,5.19,0,0,1,0,0,1,0
2024-25,High Point,Big South,FR,F,5.0,0.0,6.0,1.2,1.6,0.75,0.0,0.0,0.0,1.2,1.6,0.75,0.75,0.2,0.2,1.0,0.6,1.2,1.8,0.2,0.0,0.8,0.6,0.8,2.6,Unknown,Big South,FR,F,5.0,0.0,30.0,25.3,0.767,0.0,0.125,12.0,12.6,22.7,17.9,6.5,0.0,14.6,26.1,19.6,0.1,0.1,0.1,0.185,-8.1,-3.9,-12.0,Unknown,ivan-matlekovic-1,0,ivan matlekovic,Ivan Matlekovic,North Carolina Tar Heels,North Carolina,Tar Heels,High Point,82.0,9.15,66.5,0.015,-4.82,-5.75,31.0,20.33,70.7,-0.03,12.57,13.4,-51.0,11.179999999999998,4.200000000000003,-0.045,17.39,19.15,0,1,0,1,0,0,0
2024-25,California,ACC,FR,F,27.0,0.0,6.3,0.5,1.7,0.283,0.3,1.1,0.3,0.1,0.6,0.25,0.38,0.2,0.3,0.556,0.3,0.7,1.0,0.2,0.0,0.0,0.1,0.7,1.5,Unknown,ACC,FR,F,27.0,0.0,169.0,5.8,0.398,0.652,0.196,41.0,5.7,13.0,9.1,5.5,0.3,0.6,7.4,15.9,0.0,0.1,0.1,0.026,-2.8,-1.4,-4.2,Unknown,spencer-mahoney-1,1,spencer mahoney,Spencer Mahoney,Temple Owls,Temple,Owls,California,110.0,4.43,67.7,-0.038,6.59,-1.59,173.0,-0.68,68.9,0.017,-0.3,-2.21,63.0,-5.109999999999999,1.2000000000000028,0.055,-6.89,-0.6199999999999999,0,1,0,1,0,0,0
2024-25,Nebraska,Big Ten,SO,G,16.0,0.0,8.5,0.8,2.4,0.342,0.4,1.8,0.25,0.4,0.6,0.6,0.434,0.0,0.0,Unknown,0.2,1.4,1.6,0.8,0.3,0.4,0.4,0.9,2.1,Unknown,Big Ten,SO,G,16.0,0.0,136.0,10.7,0.434,0.737,0.0,36.0,2.6,18.7,11.0,15.8,2.1,5.5,13.6,16.6,0.0,0.2,0.2,0.07,-1.7,2.9,1.1,Unknown,gavin-griffiths-2,4,gavin griffiths,Gavin Griffiths,Temple Owls,Temple,Owls,Nebraska,46.0,16.98,67.8,0.017,12.81,-2.92,173.0,-0.68,68.9,0.017,-0.3,-2.21,127.0,-17.66,1.1000000000000085,0.0,-13.110000000000001,0.71,0,0,1,0,0,1,0
2024-25,IllinoisâChicago,MVC,JR,G,30.0,20.0,30.0,3.6,8.8,0.413,0.5,1.5,0.341,3.1,7.3,0.427,0.441,1.8,2.3,0.809,0.7,2.6,3.4,3.3,1.2,0.3,1.5,1.7,9.6,Unknown,MVC,JR,G,30.0,20.0,901.0,12.8,0.486,0.167,0.258,309.0,2.9,10.2,6.5,20.2,2.2,0.9,13.4,19.2,0.9,1.1,1.9,0.086,-1.2,0.2,-1.0,Unknown,jordan-mason-3,4,jordan mason,Jordan Mason,Temple Owls,Temple,Owls,Illinois Chicago,171.0,-0.52,69.3,0.066,1.64,2.34,173.0,-0.68,68.9,0.017,-0.3,-2.21,2.0,-0.16000000000000003,-0.3999999999999915,-0.049,-1.94,-4.55,0,0,1,0,1,0,0
2024-25,Temple,AAC,JR,F,25.0,0.0,19.7,3.1,6.4,0.481,0.6,1.8,0.304,2.5,4.6,0.553,0.525,2.3,3.0,0.75,1.1,2.6,3.8,0.6,0.4,0.3,1.6,2.8,9.0,Unknown,AAC,JR,F,25.0,0.0,493.0,15.4,0.574,0.288,0.475,211.0,6.6,14.9,10.9,6.3,1.2,1.7,16.6,23.8,0.8,0.4,1.2,0.095,-1.7,-1.8,-3.5,Unknown,elijah-gray-1,0,elijah gray,Elijah Gray,Wisconsin Badgers,Wisconsin,Badgers,Temple,173.0,-0.68,68.9,0.017,-0.3,-2.21,12.0,26.57,68.0,-0.047,14.53,0.01,-161.0,27.25,-0.9000000000000057,-0.064,14.83,2.2199999999999998,0,1,0,0,1,0,0
2024-25,Southern Utah,WAC,SR,F,31.0,31.0,32.0,5.3,12.7,0.415,1.2,3.6,0.339,4.1,9.1,0.445,0.463,4.3,5.3,0.8,1.1,3.6,4.7,1.8,0.4,0.1,2.8,1.6,16.1,Unknown,WAC,SR,F,31.0,31.0,991.0,13.8,0.526,0.284,0.418,464.0,3.9,11.8,8.0,12.4,0.6,0.2,15.7,27.7,0.9,1.0,1.9,0.079,-0.1,-2.6,-2.8,Unknown,jamir-simpson-1,4,jamir simpson,Jamir Simpson,UTSA Roadrunners,UTSA,Roadrunners,Southern Utah,296.0,-11.36,69.1,0.032,-1.57,0.24,191.0,-2.39,70.1,-0.051,1.44,1.68,-105.0,8.969999999999999,1.0,-0.08299999999999999,3.01,1.44,0,1,0,0,0,0,1
2024-25,Dayton,A-10,SR,G,33.0,31.0,27.8,3.5,8.2,0.424,0.9,2.5,0.383,2.5,5.8,0.442,0.482,2.5,3.4,0.717,0.5,2.5,2.9,5.3,1.0,0.0,2.1,1.7,10.4,Unknown,A-10,SR,G,33.0,31.0,916.0,16.6,0.527,0.299,0.417,400.0,2.2,10.5,6.4,37.4,2.2,0.1,17.7,22.8,1.7,0.9,2.7,0.117,2.4,-0.4,2.0,Unknown,malachi-smith-2,2,malachi smith,Malachi Smith,Connecticut Huskies,Connecticut,Huskies,Dayton,77.0,9.98,66.2,0.039,4.86,4.92,32.0,20.18,64.0,-0.027,11.08,-0.39,-45.0,10.2,-2.200000000000003,-0.066,6.22,-5.31,0,0,1,0,0,0,1
2024-25,UCF,Big 12,SO,F,25.0,0.0,13.8,1.3,3.2,0.407,0.5,1.6,0.325,0.8,1.6,0.488,0.488,1.2,1.8,0.652,0.6,1.7,2.2,0.8,0.4,0.3,1.1,1.4,4.4,Unknown,Big 12,SO,F,25.0,0.0,345.0,10.1,0.53,0.494,0.568,109.0,4.3,13.2,8.7,10.8,1.4,2.0,21.4,18.0,0.1,0.3,0.4,0.046,-0.3,1.1,0.7,Unknown,jj-taylor-2,4,jj taylor,JJ Taylor,Northern Illinois Huskies,Northern Illinois,Huskies,UCF,67.0,11.95,72.2,0.047,12.27,-1.17,343.0,-17.91,69.1,-0.091,-3.28,-0.53,276.0,-29.86,-3.1000000000000085,-0.138,-15.549999999999999,0.6399999999999999,0,1,0,0,0,1,0
