player,before_Team,new_team
Zvonimir Ivisic,Arkansas,Illinois Fighting Illini
Andrej Stojakovic,California,Illinois Fighting Illini
Noah Shelby,Kansas,Texas A&M Aggies
Ivan Matlekovic,High Point,North Carolina Tar Heels
Keonte Jones,California State University Northridge,Dayton Flyers
James Evans,UNLV,California State University Northridge Matadors
CJ Hines,Alabama State,Temple Owls
Spencer Mahoney,California,Temple Owls
Derrian Ford,Arkansas State,Temple Owls
Gavin Griffiths,Nebraska,Temple Owls
Jordan Mason,Illinois Chicago,Temple Owls
Masiah Gilyard,Manhattan College,Temple Owls
AJ Smith,College of Charleston,Temple Owls
Elijah Gray,Temple,Wisconsin Badgers
Jamir Simpson,Southern Utah,UTSA Roadrunners
EJ Neal,Sacramento State,USC Trojans
Macaleab Rich,Kansas State,UTSA Roadrunners
Alec Millender,Indiana University   Indianapolis,Connecticut Huskies
Dwayne Koroma,Le Moyne College,Connecticut Huskies
Silas Demary Jr.,Georgia,Connecticut Huskies
Malachi Smith,Dayton,Connecticut Huskies
JJ Taylor,UCF,Northern Illinois Huskies
Darren Buchanan Jr.,George Washington University,Rutgers Scarlet Knights
Baye Fall,Kansas State,Rutgers Scarlet Knights
Tariq Francis,New Jersey Institute of Technology,Rutgers Scarlet Knights
Bradley Ezewiro,UAB,San Diego Toreros
Desmond Claude,USC,Washington Huskies
Shahid Muhammad,Massachusetts,Florida State Seminoles
George Kimble III,Eastern Kentucky,Vanderbilt Commodores
Tafara Gapare,Maryland,Villanova Wildcats
Ryan Cornish,Dartmouth,USC Trojans
Kezza Giffa,High Point,Ole Miss Rebels
Trey Parker,NC State,Seton Hall Pirates
Chris Johnson,Stephen F. Austin,UCF Knights
Amaree Abram,Louisiana Tech,Tennessee Volunteers
Jaylen Carey,Vanderbilt,Tennessee Volunteers
Ja'Kobi Gillespie,Maryland,Tennessee Volunteers
Reece Potter,Miami (OH),Kentucky Wildcats
Mouhamed Dioubate,Alabama,Kentucky Wildcats
Jayden Quaintance,Arizona State,Kentucky Wildcats
Jaland Lowe,Pittsburgh,Kentucky Wildcats
Kam Williams,Tulane,Kentucky Wildcats
Denzel Aberdeen,Florida,Kentucky Wildcats
Nick Pringle,South Carolina,Arkansas Razorbacks
Malique Ewin,Florida State,Arkansas Razorbacks
Cade Tyson,North Carolina,Minnesota Golden Gophers
Anthony Johnson,University of the Cumberlands,Arizona State Sun Devils
Ven-Allen Lubin,North Carolina,NC State Wolfpack
Brandon Walker,Montana State,Mississippi State Bulldogs
Tyon Grant-Foster,Grand Canyon University,Gonzaga University Bulldogs
Joey Matteoni,Drake,Iowa Hawkeyes
Paul Djobet,Miami,UAB Blazers
Pop Isaacs,Creighton,Texas A&M Aggies
PJ Haggerty,Memphis,Kansas State Wildcats
Rakease Passmore,Kansas,Maryland Terrapins
Darrion Williams,Texas Tech,NC State Wolfpack
Bryce Heard,NC State,Dayton Flyers
Rashaun Agee,USC,Texas A&M Aggies
Marcus Johnson,Bowling Green,Kansas State Wildcats
Casmir Chavis,Arkansas,The University of Texas at Arlington Mavericks
Devan Cambridge,Texas Tech,UCF Knights
Zarique Nutter,Georgia State,Fordham Rams
Boogie Fland,Arkansas,Florida Gators
Curtis Givens,LSU,Memphis Tigers
Chas Kelley,Boston College,Georgia Tech Yellow Jackets
Alfred Worrell,Southern Miss,Morgan State Bears
Divine Ugochukwu,Miami,Michigan State Spartans
Baba Miller,Florida Atlantic,Cincinnati Bearcats
Mier Panoam,North Dakota,Xavier Musketeers
Assane Diop,Colorado,San Diego Toreros
Kanaan Carlyle,Indiana,Florida Atlantic Owls
Christian Nitu,Florida State,Washington Huskies
Vasean Allette,TCU,UTSA Roadrunners
Jeremiah Williams,Rutgers,Georgetown Hoyas
Collin Metcalf,Northeastern,Maryland Terrapins
Duke Miles,Oklahoma,Vanderbilt Commodores
Jacob Dar,Rice,Seton Hall Pirates
Malik Thomas,University of San Francisco,Virginia Cavaliers
Phat Phat Brooks,Michigan,Central Michigan Chippewas
Chance Stephens,Maryland,Minnesota Golden Gophers
Mister Dean,University of South Carolina Upstate,College of Charleston Cougars
Malik Presley,Texas,George Mason Patriots
Kris Parker,Villanova,UCF Knights
Tarence Guinyard,UT Martin,Duquesne Dukes
Nate Pickens,University of California Riverside,BYU Cougars
Sebastian Akins,Denver University,Wake Forest Demon Deacons
Sean Stewart,Ohio State,Oregon Ducks
JaVaughn Hannah,Western Michigan,San Jose State Spartans
James Scott,Louisville,Ole Miss Rebels
Joshua Ojianwuna,Baylor,Ohio State Buckeyes
Zawdie Jackson,New Mexico State,FIU Golden Panthers
Iffy Ufochukwu,Rice,Duke Blue Devils
Daniel Egbuniwe,Tennessee Tech,St. Bonaventure University Bonnies
Elijah Fisher,Pacific,Seton Hall Pirates
Devin Williams,UCLA,Florida Atlantic Owls
Chris Walker,Binghamton University,Illinois Chicago Flames
Travis Gray,FIU,Wagner Seahawks
Quaran McPherson,Northern Illinois,UAB Blazers
Jordan Crawford,Eastern Kentucky,South Dakota Coyotes
Ubongabasi Etim,Central Arkansas,Southeastern Louisiana Lions
Jayden Stone,West Virginia,Missouri Tigers
Travis Perry,Kentucky,Ole Miss Rebels
Jordan Marsh,University of North Carolina Asheville,USC Trojans
Morris Ugusuk,South Carolina,West Virginia Mountaineers
Derin Saran,Stanford,University of California Irvine Anteaters
Jamal West,Nicholls State,UTEP Miners
Babacar Faye,Western Kentucky,Utah Utes
Chris Riddle,DePaul,Toledo Rockets
Lamar Washington,Pacific,Georgia Tech Yellow Jackets
Marcus Randolph,Saint Peter's,La Salle Explorers
Hasan Abdul-Hakim,The University of Texas Rio Grande Valley,Memphis Tigers
Tyler Betsey,Cincinnati,Syracuse Orange
Rylan Griffen,Kansas,Texas A&M Aggies
Alex Chaikin,Lafayette,University of California San Diego Tritons
Adam Miller,Arizona State,Gonzaga University Bulldogs
Austin Herro,South Carolina,St. Thomas Tommies
PJ Carter,Memphis,LSU Tigers
Federiko Federiko,Texas Tech,Texas A&M Aggies
Dominick Harris,UCLA,Loyola (Chi) Ramblers
Jackson Fields,Troy,West Virginia Mountaineers
Carmelo Pacheco,Mount St. Mary's,UCF Knights
Pablo Tamba,UC Davis,LSU Tigers
Ugonna Onyenso,Kansas State,Virginia Cavaliers
Keitenn Bristow,Tarleton State,Alabama Crimson Tide
Dior Johnson,UCF,Tarleton State Texans
Jailen Bedford,UNLV,Virginia Tech Hokies
AJ Staton-McCray,Miami,Seton Hall Pirates
Aidan Mahaney,Connecticut,University of California Santa Barbara Gauchos
Mikey Williams,UCF,Sacramento State Hornets
Vincent Iwuchukwu,St. John's,Georgetown Hoyas
Handje Tamba,Milligan University,St. John's Red Storm
Jace Howard,Michigan,Fordham Rams
KC Ibekwe,Washington,Pacific Tigers
Josh Harris,North Florida,Indiana Hoosiers
Jalen Shelley,USC,Loyola Marymount Lions
Braxton Bayless,Western Kentucky,Arkansas Little Rock Trojans
Jamie Vinson,Texas,Texas A&M Aggies
Derrion Reid,Alabama,Oklahoma Sooners
Don McHenry,Western Kentucky,Utah Utes
Jordan Ross,Saint Mary's College of California,Georgia Bulldogs
Smurf Millender,UTSA,Georgia Bulldogs
Joshua Ola-Joseph,California,Loyola (Chi) Ramblers
Augusto Cassia,Butler,Ole Miss Rebels
Chad Baker-Mazara,Auburn,USC Trojans
Marcus Hill,NC State,Texas A&M Aggies
Blake Harper,Howard,Creighton Bluejays
Jordyn Kee,Georgia,Miami Hurricanes
Tyler Harris,Washington,Vanderbilt Commodores
Dominick Nelson,Utah Valley University,Iowa State Cyclones
Amar'e Marshall,Albany,St. Bonaventure University Bonnies
Christian Coleman,UAB,Oklahoma State Cowboys
Seydou Traore,Iowa,Utah Utes
