Season,Team,Conf_x,Class_x,Pos_x,G_x,GS_x,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards_x,Conf_y,Class_y,Pos_y,G_y,GS_y,MP_y,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards_y,player_id
2023-24,Kentucky,SEC,FR,F,15.0,0.0,11.7,2.0,3.5,0.577,0.4,1.1,0.375,1.6,2.4,0.667,0.635,1.1,1.5,0.773,1.1,2.2,3.3,0.6,0.3,1.3,1.0,1.5,5.5,Unknown,SEC,FR,F,15.0,0.0,176.0,23.9,0.665,0.308,0.423,81.0,10.6,19.2,15.1,8.3,1.5,11.9,19.4,21.0,0.5,0.3,0.7,0.169,2.3,2.4,4.8,Unknown,zvonimir-ivisic-1
2024-25,Arkansas,SEC,SO,F,35.0,19.0,19.1,3.0,6.3,0.473,1.3,3.6,0.376,1.7,2.8,0.598,0.579,1.2,1.7,0.724,0.8,3.5,4.3,0.8,0.7,1.9,1.4,2.0,8.5,Unknown,SEC,SO,F,35.0,19.0,669.0,20.1,0.599,0.563,0.261,267.0,4.8,20.0,12.8,8.1,2.0,10.6,16.4,22.4,0.9,1.5,2.4,0.145,3.1,5.4,8.5,Unknown,zvonimir-ivisic-1
2023-24,Stanford,Pac-12,FR,G,32.0,10.0,22.3,3.1,7.6,0.409,1.1,3.3,0.327,2.0,4.3,0.471,0.479,0.6,1.1,0.528,0.5,2.9,3.4,0.9,0.4,0.1,1.2,0.8,7.8,Unknown,Pac-12,FR,G,32.0,10.0,715.0,9.8,0.484,0.43,0.149,229.0,2.9,14.5,8.9,7.3,1.0,0.6,12.8,21.2,-0.1,0.6,0.6,0.031,-1.1,-0.5,-1.5,Unknown,andrej-stojakovic-2
2024-25,California,ACC,SO,G,29.0,28.0,33.4,5.9,13.9,0.427,1.4,4.4,0.318,4.5,9.4,0.478,0.478,4.7,5.7,0.818,0.9,3.8,4.7,1.8,0.8,1.2,2.2,1.8,17.9,Unknown,ACC,SO,G,29.0,28.0,969.0,19.5,0.54,0.32,0.409,475.0,2.9,13.7,7.9,12.0,1.4,3.7,11.9,27.8,2.0,0.8,2.8,0.117,4.1,0.6,4.7,Unknown,andrej-stojakovic-2
2022-23,Vanderbilt,SEC,FR,G,14.0,0.0,9.0,1.1,3.6,0.314,1.0,3.2,0.311,0.1,0.4,0.333,0.451,0.4,0.6,0.667,0.1,0.4,0.5,0.2,0.1,0.0,0.1,0.6,3.7,Unknown,SEC,FR,G,14.0,0.0,126.0,10.4,0.47,0.882,0.176,44.0,0.9,5.2,3.1,4.8,0.5,0.0,1.8,22.8,0.2,0.0,0.2,0.069,1.5,-1.5,0.0,Unknown,noah-shelby-1
2023-24,Rice,AAC,SO,G,30.0,1.0,11.9,1.3,3.7,0.351,0.8,2.3,0.333,0.5,1.4,0.381,0.455,0.6,0.7,0.85,0.1,0.8,1.0,0.8,0.4,0.0,0.6,0.7,3.9,Unknown,AAC,SO,G,30.0,1.0,356.0,9.9,0.49,0.622,0.18,112.0,1.3,8.0,4.6,12.6,2.0,0.0,13.6,20.2,0.2,0.1,0.3,0.034,-2.9,-1.7,-4.5,Unknown,noah-shelby-1
2024-25,High Point,Big South,FR,F,5,0,6.0,1.2,1.6,0.75,0.0,0.0,,1.2,1.6,0.75,0.75,0.2,0.2,1.0,0.6,1.2,1.8,0.2,0.0,0.8,0.6,0.8,2.6,Unknown,Big South,FR,F,5,0,30,25.3,0.767,0.0,0.125,12,12.6,22.7,17.9,6.5,0.0,14.6,26.1,19.6,0.1,0.1,0.1,0.185,-8.1,-3.9,-12.0,Unknown,ivan-matlekovic-1
2023-24,Cal State Northridge,Big West,JR,F,34,31,29.4,4.1,7.7,0.536,0.4,1.2,0.333,3.7,6.5,0.575,0.563,2.7,4.2,0.646,1.3,5.5,6.9,2.2,1.6,1.5,1.9,3.2,11.4,Unknown,Big West,JR,F,34,31,1000,19.4,0.587,0.16,0.548,380,4.9,19.7,12.5,13.7,3.0,6.0,16.2,18.6,1.7,2.3,4.0,0.159,0.4,3.1,3.5,Unknown,keonte-jones-1
2024-25,Cal State Northridge,Big West,SR,F,33,33,30.8,4.7,9.3,0.506,0.4,1.0,0.382,4.3,8.3,0.522,0.528,3.3,4.8,0.675,2.8,6.3,9.0,4.1,1.8,1.3,2.6,3.1,13.1,Unknown,Big West,SR,F,33,33,1018,22.3,0.564,0.11,0.519,480,10.0,22.9,16.4,23.6,3.2,6.0,18.5,21.6,2.2,2.5,4.7,0.184,2.5,3.2,5.8,Unknown,keonte-jones-1
2023-24,Alabama State,SWAC,JR,G,32,32,25.8,3.3,9.4,0.344,1.5,4.4,0.35,1.7,5.1,0.34,0.425,1.7,2.1,0.791,0.8,2.1,2.8,2.6,1.0,0.1,1.5,2.3,9.7,Unknown,SWAC,JR,G,32,32,827,12.4,0.464,0.464,0.222,310,2.7,9.3,5.7,21.8,2.2,0.6,12.3,22.0,0.6,1.2,1.9,0.091,-1.7,-0.5,-2.2,Unknown,cj-hines-1
