rank,netrtg,adjt,luck,sos,sos_ooc,team,year
17,+24.32,71.5,-.022,+17.14,+3.60,Illinois,2025
17,+24.32,71.5,-.022,+17.14,+3.60,Illinois,2025
18,+23.66,66.8,+.001,+16.52,+7.67,Texas A&M,2025
31,+20.33,70.7,-.030,+12.57,+13.40,North Carolina,2025
77,+9.98,66.2,+.039,+4.86,+4.92,Dayton,2025
,,,,,,Cal State Northridge,2025
173,-0.68,68.9,+.017,-0.30,-2.21,Temple,2025
173,-0.68,68.9,+.017,-0.30,-2.21,Temple,2025
173,-0.68,68.9,+.017,-0.30,-2.21,Temple,2025
173,-0.68,68.9,+.017,-0.30,-2.21,Temple,2025
173,-0.68,68.9,+.017,-0.30,-2.21,Temple,2025
173,-0.68,68.9,+.017,-0.30,-2.21,Temple,2025
173,-0.68,68.9,+.017,-0.30,-2.21,Temple,2025
12,+26.57,68.0,-.047,+14.53,+0.01,Wisconsin,2025
191,-2.39,70.1,-.051,+1.44,+1.68,UTSA,2025
57,+14.39,68.6,-.057,+12.67,-1.97,USC,2025
191,-2.39,70.1,-.051,+1.44,+1.68,UTSA,2025
32,+20.18,64.0,-.027,+11.08,-0.39,Connecticut,2025
32,+20.18,64.0,-.027,+11.08,-0.39,Connecticut,2025
32,+20.18,64.0,-.027,+11.08,-0.39,Connecticut,2025
32,+20.18,64.0,-.027,+11.08,-0.39,Connecticut,2025
343,-17.91,69.1,-.091,-3.28,-0.53,Northern Illinois,2025
70,+11.50,68.9,-.012,+14.07,-2.32,Rutgers,2025
70,+11.50,68.9,-.012,+14.07,-2.32,Rutgers,2025
70,+11.50,68.9,-.012,+14.07,-2.32,Rutgers,2025
297,-11.44,71.3,-.074,+0.76,-4.45,San Diego,2025
104,+5.79,67.9,+.011,+13.62,-4.30,Washington,2025
91,+8.20,69.7,-.007,+6.24,-2.60,Florida St.,2025
48,+16.23,69.5,+.010,+13.38,-6.82,Vanderbilt,2025
56,+14.74,63.4,-.066,+8.19,-6.34,Villanova,2025
57,+14.39,68.6,-.057,+12.67,-1.97,USC,2025
22,+23.34,68.1,+.013,+16.98,-0.55,Mississippi,2025
204,-3.42,64.7,-.042,+10.00,-2.90,Seton Hall,2025
67,+11.95,72.2,+.047,+12.27,-1.17,UCF,2025
5,+30.93,63.7,+.029,+16.80,-1.04,Tennessee,2025
5,+30.93,63.7,+.029,+16.80,-1.04,Tennessee,2025
5,+30.93,63.7,+.029,+16.80,-1.04,Tennessee,2025
16,+24.54,70.9,+.010,+18.23,+3.64,Kentucky,2025
16,+24.54,70.9,+.010,+18.23,+3.64,Kentucky,2025
16,+24.54,70.9,+.010,+18.23,+3.64,Kentucky,2025
