before_Team,valid_team
,Abilene Christian
yes,Albany (NY)
,Alcorn State
,American
,Appalachian State
,Arkansas-Pine Bluff
,Army
,Austin Peay
,Bellarmine
,Belmont
,Bethune-Cookman
yes,Binghamton
,Boston University
yes,Bowling Green State
,Bradley
yes,Brigham Young
,Bryant
,Bucknell
,Buffalo
,Cal Poly
yes,Cal State Bakersfield
,Cal State Fullerton
,California Baptist
,Canisius
,Central Connecticut State
,Charlotte
,Chicago State
yes,Cleveland State
,Coastal Carolina
,Colgate
,Columbia
,Coppin State
yes,Delaware State
yes,Denver
,Detroit Mercy
,Duke
,East Texas A&M
,Eastern Illinois
,Eastern Michigan
,Fairfield
yes,FDU
,Florida A&M
,Florida Gulf Coast
,Florida International
,Fordham
,Furman
yes,Gardner-Webb
yes,George Washington
yes,Gonzaga
,Grambling
yes,Grand Canyon
,Green Bay
,Hampton
,Hawaii
,Hofstra
,Houston Christian
yes,Idaho
,Illinois State
yes,Illinois-Chicago
,Incarnate Word
,Jackson State
,Kansas City
,Kennesaw State
,Kent State
,Lamar
,Lehigh
,Lindenwood
,Little Rock
,Long Beach State
,Long Island University
,Louisiana
yes,Louisiana State
yes,Louisiana-Monroe
yes,Loyola (IL)
,Loyola (MD)
,Loyola Marymount
,Maine
,Marquette
,Marshall
,Maryland-Baltimore County
yes,Maryland-Eastern Shore
,Massachusetts-Lowell
,Mercer
,Mercyhurst
yes,Miami (FL)
yes,Middle Tennessee
,Milwaukee
,Minnesota
,Mississippi
,Mississippi Valley State
yes,Missouri State
yes,Monmouth
,Morehead State
,Morgan State
,Navy
,Nevada-Las Vegas
,New Hampshire
,New Orleans
,Niagara
yes,NJIT
,North Carolina Central
,Northern Iowa
,Northwestern State
,Oklahoma State
,Old Dominion
,Omaha
,Oral Roberts
,Pennsylvania
,Pepperdine
,Portland State
,Prairie View
,Presbyterian
,Purdue Fort Wayne
,Queens (NC)
,Quinnipiac
,Richmond
,Rider
,Sacred Heart
yes,Saint Joseph's
,Saint Louis
yes,Saint Mary's (CA)
yes,Sam Houston
yes,San Francisco
yes,Santa Clara
,Seattle
,Siena
yes,South Carolina Upstate
,South Dakota State
,South Florida
,Southeast Missouri State
,Southeastern Louisiana
,Southern
yes,Southern California
,Southern Illinois-Edwardsville
,Southern Indiana
,Southern Methodist
yes,Southern Mississippi
yes,St. Bonaventure
yes,St. John's (NY)
,Stetson
yes,Stonehill
,Stony Brook
,Tennessee
,Tennessee State
,Tennessee-Martin
yes,Texas A&M-Corpus Christi
,Texas Southern
,Texas State
yes,Texas-Rio Grande Valley
,The Citadel
,UC Irvine
yes,UC Riverside
yes,UC San Diego
yes,UC Santa Barbara
,UNC Asheville
yes,UNC Wilmington
,UT Arlington
,Utah State
,Utah Tech
yes,Utah Valley
,UTEP
,Vermont
,Virginia Commonwealth
,Wagner
,Weber State
,West Georgia
,Western Carolina
,Western Illinois
,William & Mary
,Winthrop
,Yale
